exog_variables,model_order,arima_p,arima_d,arima_q,aic,bic,rmse,mae
"tmean_lag120, tmean_lag105, tmean_lag90, tmean_lag165, tmean_lag75","ARIMAX(1,1,2)",1,1,2,-5689.441071726464,-5651.070487363139,0.15201877247420487,0.1382591747222261
"tmean_lag120, tmean_lag105, tmean_lag165, tmean_lag75","ARIMAX(1,1,2)",1,1,2,-5691.498351971515,-5657.391165870782,0.15207704491675372,0.13829886717826978
"tmean_lag135, tmean_lag120, tmean_lag105, tmean_lag90, tmean_lag165, tmean_lag75","ARIMAX(1,1,2)",1,1,2,-5687.844848372602,-5645.210865746686,0.15224825861287916,0.1384622559704064
"tmean_lag135, tmean_lag120, tmean_lag105, tmean_lag165, tmean_lag75","ARIMAX(1,1,2)",1,1,2,-5689.913921207137,-5651.5433368438125,0.15229066387309023,0.13848764427630256
"tmean_lag120, tmean_lag105, tmean_lag90, tmean_lag165, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5687.748994312864,-5645.115011686948,0.1523180704783744,0.13850909915397472
"tmean_lag120, tmean_lag105, tmean_lag90, tmean_lag165","ARIMAX(1,1,2)",1,1,2,-5691.573275919325,-5657.466089818592,0.15235109595525267,0.13854924880504124
"tmean_lag120, tmean_lag105, tmean_lag165, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5689.923831209249,-5651.553246845925,0.15236125347016702,0.13853543948174096
"tmean_lag120, tmean_lag105, tmean_lag165","ARIMAX(1,1,2)",1,1,2,-5693.647611334591,-5663.80382349645,0.1524608838544983,0.1386328270418005
"tmean_lag135, tmean_lag120, tmean_lag105, tmean_lag90, tmean_lag165, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5686.162807987961,-5639.2654270994535,0.15254898622935265,0.13871307871133823
"tmean_lag135, tmean_lag120, tmean_lag105, tmean_lag90, tmean_lag165","ARIMAX(1,1,2)",1,1,2,-5689.969194023236,-5651.598609659912,0.15255245216350852,0.13872772882967177
"tmean_lag135, tmean_lag120, tmean_lag105, tmean_lag165, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5688.4127105301295,-5645.778727904213,0.15255889068346573,0.1387108159060472
"tmean_lag135, tmean_lag120, tmean_lag105, tmean_lag165","ARIMAX(1,1,2)",1,1,2,-5692.099872231877,-5657.992686131144,0.1526123003450517,0.13876858952237422
"tmean_lag120, tmean_lag105, tmean_lag90, tmean_lag165, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5689.902383627346,-5651.531799264022,0.15263496299113075,0.13878581706085663
"tmean_lag120, tmean_lag105, tmean_lag90, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5689.194917510009,-5650.824333146685,0.15264731860011282,0.1388015450690476
"tmean_lag120, tmean_lag105, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5691.295568993299,-5657.188382892566,0.15266149885327707,0.13880246659292444
"tmean_lag105, tmean_lag90, tmean_lag165, tmean_lag75","ARIMAX(1,1,2)",1,1,2,-5687.933881996042,-5653.826695895309,0.15269473983239534,0.13885528780841877
"tmean_lag120, tmean_lag105, tmean_lag165, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5692.198069056359,-5658.090882955626,0.15270453777564308,0.13883475566808576
"tmean_lag105, tmean_lag165, tmean_lag75","ARIMAX(1,1,2)",1,1,2,-5689.930047488894,-5660.086259650753,0.15279426459049983,0.1389286952669973
"tmean_lag135, tmean_lag120, tmean_lag105, tmean_lag90, tmean_lag165, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5688.317181387483,-5645.683198761567,0.1528338579780984,0.13896205447512042
"tmean_lag135, tmean_lag105, tmean_lag90, tmean_lag165, tmean_lag75","ARIMAX(1,1,2)",1,1,2,-5686.591813036643,-5648.221228673318,0.15285124840561454,0.13899568804517382
"tmean_lag135, tmean_lag120, tmean_lag105, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5689.847513813919,-5651.476929450595,0.15285836838079003,0.1389768802859103
"tmean_lag135, tmean_lag120, tmean_lag105, tmean_lag90, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5687.723762935147,-5645.08978030923,0.15285948103624922,0.13898967209408264
"tmean_lag135, tmean_lag120, tmean_lag105, tmean_lag165, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5690.690248481285,-5652.319664117961,0.15286159047322756,0.13897508116933027
"tmean_lag105, tmean_lag90, tmean_lag165","ARIMAX(1,1,2)",1,1,2,-5690.098200033239,-5660.254412195098,0.15293094590620057,0.13906133894002667
"tmean_lag120, tmean_lag105, tmean_lag90, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5691.33960292795,-5657.232416827217,0.15294979196852193,0.13906537539784938
"tmean_lag135, tmean_lag105, tmean_lag165, tmean_lag75","ARIMAX(1,1,2)",1,1,2,-5688.573260912281,-5654.4660748115475,0.15297193024442837,0.1390866325641641
"tmean_lag120, tmean_lag105, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5693.563703583214,-5663.719915745073,0.15298878109339215,0.13908737179941358
"tmean_lag105, tmean_lag165","ARIMAX(1,1,2)",1,1,2,-5692.237849219732,-5666.657459644182,0.1530280776054533,0.13913399423311473
"tmean_lag135, tmean_lag105, tmean_lag90, tmean_lag165","ARIMAX(1,1,2)",1,1,2,-5688.750283396301,-5654.643097295568,0.1530609863583221,0.13917874864985008
"tmean_lag105, tmean_lag90, tmean_lag165, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5686.887147949683,-5648.516563586359,0.15309398961104898,0.139187906032478
"tmean_lag135, tmean_lag105, tmean_lag165","ARIMAX(1,1,2)",1,1,2,-5691.00589015856,-5661.162102320419,0.15312927877276722,0.1392274246183703
"tmean_lag135, tmean_lag120, tmean_lag105, tmean_lag90, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5689.870590053943,-5651.500005690618,0.15312951455726634,0.13922546855231424
"tmean_lag135, tmean_lag120, tmean_lag105, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5692.1292627435705,-5658.022076642837,0.15313847961434413,0.1392213633517552
"tmean_lag105, tmean_lag165, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5688.916506051071,-5654.809319950338,0.1531958598742417,0.1392621569130007
"tmean_lag135, tmean_lag105, tmean_lag90, tmean_lag165, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5685.547726094551,-5642.9137434686345,0.15324707305639432,0.13932529204998087
"tmean_lag120, tmean_lag150, tmean_lag105, tmean_lag165, tmean_lag75","ARIMAX(1,1,2)",1,1,2,-5691.7357651956145,-5653.36518083229,0.1533044753116678,0.1393502653245352
"tmean_lag105, tmean_lag90, tmean_lag165, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5689.07529078198,-5654.968104681247,0.1533245946249269,0.1393885218321153
"tmean_lag135, tmean_lag120, tmean_lag150, tmean_lag105, tmean_lag165, tmean_lag75","ARIMAX(1,1,2)",1,1,2,-5689.91049480079,-5647.2765121748735,0.15333974010290077,0.13938265452507004
"tmean_lag105, tmean_lag90, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5688.428778091491,-5654.321591990758,0.15334065537840297,0.13940756583678673
"tmean_lag135, tmean_lag105, tmean_lag165, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5687.565315746695,-5649.194731383371,0.15337305071574106,0.13941956936228964
"tmean_lag105, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5690.444989454775,-5660.601201616634,0.15340100350657102,0.13944641929521948
"tmean_lag135, tmean_lag105, tmean_lag90, tmean_lag165, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5687.73166710025,-5649.361082736926,0.15344414742345794,0.13949749025391503
"tmean_lag105, tmean_lag165, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5691.140199445123,-5661.296411606982,0.15345724817132966,0.13948926107833381
"tmean_lag135, tmean_lag105, tmean_lag90, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5687.215013223491,-5648.844428860167,0.15347282256740596,0.1395275417784546
"tmean_lag120, tmean_lag150, tmean_lag105, tmean_lag90, tmean_lag165, tmean_lag75","ARIMAX(1,1,2)",1,1,2,-5689.611445192452,-5646.977462566536,0.15347420781268353,0.13950751998907718
"tmean_lag135, tmean_lag120, tmean_lag150, tmean_lag105, tmean_lag90, tmean_lag165, tmean_lag75","ARIMAX(1,1,2)",1,1,2,-5687.795814267289,-5640.898433378781,0.15351125750901862,0.13954203194134318
"tmean_lag105, tmean_lag90, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5690.618117178938,-5660.774329340797,0.15355564137149613,0.13959502335297072
"tmean_lag135, tmean_lag105, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5689.205823215577,-5655.098637114844,0.1535643238297731,0.13959203921606486
"tmean_lag135, tmean_lag105, tmean_lag165, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5689.859003347912,-5655.751817247179,0.15357707371986126,0.13959788593635308
"tmean_lag120, tmean_lag90, tmean_lag165, tmean_lag75","ARIMAX(1,1,2)",1,1,2,-5685.6512407304635,-5651.54405462973,0.15358242184637574,0.1395830123897173
"tmean_lag120, tmean_lag165, tmean_lag75","ARIMAX(1,1,2)",1,1,2,-5687.715972796355,-5657.872184958214,0.15359405198626497,0.139585084104103
"tmean_lag120, tmean_lag150, tmean_lag105, tmean_lag165","ARIMAX(1,1,2)",1,1,2,-5693.88490070179,-5659.777714601057,0.15360283970281507,0.13960875127514458
"tmean_lag120, tmean_lag150, tmean_lag105, tmean_lag165, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5690.183985175667,-5647.55000254975,0.15360766046231772,0.13959899045580776
"tmean_lag135, tmean_lag120, tmean_lag150, tmean_lag105, tmean_lag165","ARIMAX(1,1,2)",1,1,2,-5692.049873458195,-5653.679289094871,0.15362016330513764,0.13962575080896253
"tmean_lag135, tmean_lag120, tmean_lag150, tmean_lag105, tmean_lag165, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5688.349693647116,-5641.452312758608,0.15362777900561495,0.13961922753361486
"tmean_lag135, tmean_lag105, tmean_lag90, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5689.369493328962,-5655.262307228229,0.1536685996566637,0.1396984413303434
"tmean_lag120, tmean_lag150, tmean_lag105, tmean_lag75","ARIMAX(1,1,2)",1,1,2,-5692.901645267205,-5658.794459166472,0.15371821557881207,0.13971423863439505
"tmean_lag120, tmean_lag150, tmean_lag105, tmean_lag90, tmean_lag165","ARIMAX(1,1,2)",1,1,2,-5691.756863111394,-5653.386278748069,0.1537200987997797,0.1397222494372193
"tmean_lag135, tmean_lag120, tmean_lag150, tmean_lag105, tmean_lag90, tmean_lag165","ARIMAX(1,1,2)",1,1,2,-5689.934553852398,-5647.300571226481,0.15374477370121986,0.13974593393919174
"tmean_lag135, tmean_lag120, tmean_lag150, tmean_lag105, tmean_lag75","ARIMAX(1,1,2)",1,1,2,-5691.189483817196,-5652.818899453871,0.15374588699649033,0.13974085440028253
