exog_variables,model_order,arima_p,arima_d,arima_q,aic,bic,rmse,mae
"twbs_lag120, twbs_lag90, twbs_lag165","ARIMAX(1,1,2)",1,1,2,-5685.485338958421,-5655.64155112028,0.1543116141482247,0.14022010454769604
"twbs_lag120, twbs_lag90, twbs_lag165, twbs_lag75","ARIMAX(1,1,2)",1,1,2,-5683.391368312605,-5649.284182211872,0.15433176437166804,0.1402366666881155
"twbs_lag120, twbs_lag165","ARIMAX(1,1,2)",1,1,2,-5687.537067452095,-5661.956677876545,0.1543637501686198,0.1402630004332015
"twbs_lag120, twbs_lag105, twbs_lag90, twbs_lag165","ARIMAX(1,1,2)",1,1,2,-5685.024868960561,-5650.917682859828,0.15438973565527225,0.14028834869942464
"twbs_lag120, twbs_lag105, twbs_lag90, twbs_lag165, twbs_lag75","ARIMAX(1,1,2)",1,1,2,-5682.945509238565,-5644.574924875241,0.15440461170575046,0.14030051773043312
"twbs_lag120, twbs_lag105, twbs_lag165","ARIMAX(1,1,2)",1,1,2,-5687.054831336499,-5657.211043498358,0.15440971278120746,0.1403035236570646
"twbs_lag120, twbs_lag165, twbs_lag75","ARIMAX(1,1,2)",1,1,2,-5685.439674240732,-5655.595886402591,0.15441637993798388,0.1403072907649069
"twbs_lag120, twbs_lag135, twbs_lag90, twbs_lag165","ARIMAX(1,1,2)",1,1,2,-5683.5619494390785,-5649.454763338345,0.15445742719090422,0.14034203771412704
"twbs_lag120, twbs_lag105, twbs_lag165, twbs_lag75","ARIMAX(1,1,2)",1,1,2,-5684.971403025195,-5650.864216924462,0.15445852753124312,0.1403446306318912
"twbs_lag120, twbs_lag135, twbs_lag90, twbs_lag165, twbs_lag75","ARIMAX(1,1,2)",1,1,2,-5681.454909222048,-5643.084324858723,0.15448226782351088,0.14036244338587775
"twbs_lag120, twbs_lag135, twbs_lag165","ARIMAX(1,1,2)",1,1,2,-5685.614304646163,-5655.770516808022,0.15448782464154484,0.14036615932650884
"twbs_lag120, twbs_lag135, twbs_lag105, twbs_lag165","ARIMAX(1,1,2)",1,1,2,-5685.104192372527,-5650.997006271794,0.15453325470688112,0.14040624637279708
"twbs_lag120, twbs_lag135, twbs_lag105, twbs_lag90, twbs_lag165","ARIMAX(1,1,2)",1,1,2,-5683.069214473847,-5644.698630110523,0.1545390753140976,0.14041332087579517
"twbs_lag120, twbs_lag135, twbs_lag165, twbs_lag75","ARIMAX(1,1,2)",1,1,2,-5683.5073050377105,-5649.400118936977,0.15454525649393328,0.14041436631263804
"twbs_lag120, twbs_lag135, twbs_lag105, twbs_lag90, twbs_lag165, twbs_lag75","ARIMAX(1,1,2)",1,1,2,-5680.9983687558815,-5638.364386129965,0.15454569179337838,0.14041891015414057
