exog_variables,model_order,arima_p,arima_d,arima_q,aic,bic,rmse,mae
"tmean_lag120, tmean_lag150","ARIMAX(3,1,3)",3,1,3,-8495.913249110225,-8453.27926648431,0.4029072773291434,0.3408918974820048
"tmean_lag120, tmean_lag135, tmean_lag150","ARIMAX(3,1,3)",3,1,3,-8473.707876496468,-8426.81049560796,0.4243840542410289,0.36555326869563515
"tmean_lag150, tmean_lag90","ARIMAX(3,1,2)",3,1,2,-8441.011686757043,-8406.90450065631,0.7000549473358717,0.6341342695857696
"tmean_lag135, tmean_lag150, tmean_lag90","ARIMAX(3,1,2)",3,1,2,-8336.992173423401,-8298.621589060076,0.708445526189557,0.6352097220202533
"tmean_lag105, tmean_lag150, tmean_lag180","ARIMAX(1,1,1)",1,1,1,-6193.1171011402275,-6163.2733133020865,0.806767614436549,0.6605591021133214
"tmean_lag120, tmean_lag135, tmean_lag150, tmean_lag180","ARIMAX(2,1,3)",2,1,3,-8203.141830605955,-8160.507847980039,0.8354787228545055,0.7383182223363763
"tmean_lag120, tmean_lag90","ARIMAX(2,1,3)",2,1,3,-8245.865508166062,-8211.758322065329,0.8709469108121183,0.7718781867608582
tmean_lag150,"ARIMAX(3,1,3)",3,1,3,-9345.068406298778,-9310.961220198045,0.8738375782720414,0.7527208069887179
"tmean_lag120, tmean_lag150, tmean_lag90","ARIMAX(2,1,3)",2,1,3,-8207.985409169123,-8169.614824805799,0.8746614775738242,0.7745556156024662
"tmean_lag120, tmean_lag135, tmean_lag0, tmean_lag180","ARIMAX(2,1,3)",2,1,3,-8149.124768435188,-8106.490785809272,0.8948159960956499,0.7904549446242694
tmean_lag165,"ARIMAX(2,1,3)",2,1,3,-8087.698527921403,-8053.59134182067,0.8999606577351726,0.7867666217079345
"tmean_lag120, tmean_lag150, tmean_lag0, tmean_lag180","ARIMAX(2,1,3)",2,1,3,-8142.689997831067,-8100.05601520515,0.9053876210882765,0.7993479701604281
"tmean_lag120, tmean_lag90, tmean_lag0","ARIMAX(2,1,3)",2,1,3,-8160.933162713969,-8122.562578350645,0.9305181811502523,0.8247748696378442
"tmean_lag120, tmean_lag150, tmean_lag165","ARIMAX(2,1,3)",2,1,3,-8007.0782988442825,-7964.444316218366,0.9322666963156204,0.8241249303853172
"tmean_lag90, tmean_lag180","ARIMAX(2,1,3)",2,1,3,-8299.136118398748,-8265.028932298015,0.9606082684016685,0.8475190569813008
"tmean_lag135, tmean_lag90, tmean_lag180","ARIMAX(2,1,3)",2,1,3,-8274.460231901978,-8236.089647538653,0.9654214030610548,0.8517119883724317
"tmean_lag120, tmean_lag150, tmean_lag90, tmean_lag180","ARIMAX(2,1,3)",2,1,3,-8125.481494201114,-8082.847511575198,0.967935440245352,0.8563566422055624
tmean_lag105,"ARIMAX(3,1,3)",3,1,3,-7925.925539505144,-7891.818353404411,0.9750396261344253,0.8737549793430814
"tmean_lag135, tmean_lag105","ARIMAX(2,1,3)",2,1,3,-7927.414578155744,-7893.3073920550105,0.980235869606225,0.8784230880861252
"tmean_lag150, tmean_lag165","ARIMAX(2,1,3)",2,1,3,-8087.255797528099,-8053.148611427366,0.982944950454442,0.871822282279824
"tmean_lag120, tmean_lag105","ARIMAX(2,1,3)",2,1,3,-7898.828211570468,-7864.721025469735,0.9902706998896041,0.8872410813659253
"tmean_lag135, tmean_lag165","ARIMAX(2,1,3)",2,1,3,-8105.718993165108,-8071.611807064375,0.9926997404166749,0.8799303882963293
"tmean_lag120, tmean_lag135, tmean_lag105","ARIMAX(2,1,3)",2,1,3,-7870.252413447092,-7827.618430821176,1.003520363013914,0.8971244542213426
"tmean_lag120, tmean_lag135, tmean_lag90, tmean_lag0, tmean_lag180","ARIMAX(2,1,3)",2,1,3,-8053.256240688745,-8006.358859800237,1.0206179812690352,0.9021891140430345
"tmean_lag135, tmean_lag105, tmean_lag150","ARIMAX(2,1,3)",2,1,3,-7908.156624216815,-7869.78603985349,1.0230747217244058,0.9148803560580403
"tmean_lag120, tmean_lag150, tmean_lag90, tmean_lag0, tmean_lag180","ARIMAX(2,1,3)",2,1,3,-8038.900237636389,-7992.002856747881,1.024703898121749,0.9054003934053039
"tmean_lag135, tmean_lag150, tmean_lag90, tmean_lag0, tmean_lag180","ARIMAX(2,1,3)",2,1,3,-8129.7424457973575,-8082.84506490885,1.0448934224557396,0.9208454118449821
"tmean_lag105, tmean_lag0","ARIMAX(2,1,3)",2,1,3,-7849.126970251716,-7815.019784150983,1.0491152710679932,0.9376181312024447
"tmean_lag120, tmean_lag150, tmean_lag165, tmean_lag0","ARIMAX(2,1,3)",2,1,3,-7904.630477037861,-7861.996494411945,1.0567873451379584,0.9392974497750486
"tmean_lag120, tmean_lag135, tmean_lag150, tmean_lag165, tmean_lag0","ARIMAX(2,1,3)",2,1,3,-7887.069828688587,-7840.17244780008,1.056890813219738,0.9395032955553023
"tmean_lag120, tmean_lag105, tmean_lag0","ARIMAX(2,1,3)",2,1,3,-7844.269533133152,-7805.898948769828,1.0578665092353765,0.9452383626136059
"tmean_lag135, tmean_lag150","ARIMAX(3,1,3)",3,1,3,-8987.712824306267,-8945.078841680352,1.0639769842762512,0.9013830754084176
"tmean_lag120, tmean_lag135, tmean_lag105, tmean_lag0","ARIMAX(2,1,3)",2,1,3,-7816.969675542898,-7774.335692916981,1.0639868210652954,0.9506809834247029
"tmean_lag120, tmean_lag165, tmean_lag0","ARIMAX(2,1,3)",2,1,3,-7922.463926479222,-7884.093342115898,1.0655369239884436,0.9462205985690564
"tmean_lag120, tmean_lag135, tmean_lag165, tmean_lag0","ARIMAX(2,1,3)",2,1,3,-7890.868588317059,-7848.234605691143,1.0678588153010702,0.9483541174708942
"tmean_lag135, tmean_lag105, tmean_lag180","ARIMAX(2,1,3)",2,1,3,-7848.370427865886,-7809.999843502562,1.0725105001767805,0.9567876554002253
"tmean_lag135, tmean_lag90, tmean_lag0","ARIMAX(3,1,0)",3,1,0,-8318.089356236937,-8283.982170136203,1.073628412388766,0.9261119759021861
"tmean_lag105, tmean_lag180","ARIMAX(2,1,3)",2,1,3,-7855.191409345474,-7821.084223244741,1.074172742140414,0.9580484881387411
"tmean_lag120, tmean_lag135, tmean_lag105, tmean_lag180","ARIMAX(2,1,3)",2,1,3,-7818.09559311595,-7775.461610490033,1.083444744760973,0.966474012050305
"tmean_lag120, tmean_lag105, tmean_lag150, tmean_lag0","ARIMAX(2,1,3)",2,1,3,-7819.196066019404,-7776.562083393487,1.0937987678632823,0.9759403081856962
"tmean_lag135, tmean_lag105, tmean_lag150, tmean_lag0","ARIMAX(2,1,3)",2,1,3,-7817.358320547503,-7774.724337921587,1.0980435287456927,0.9796726765838328
"tmean_lag135, tmean_lag165, tmean_lag0","ARIMAX(3,1,3)",3,1,3,-8006.38439266243,-7963.750410036514,1.1002416188006374,0.9767825783722446
"tmean_lag105, tmean_lag0, tmean_lag180","ARIMAX(2,1,3)",2,1,3,-7745.506244091831,-7702.872261465915,1.101333503625988,0.9765928707032447
"tmean_lag120, tmean_lag135, tmean_lag105, tmean_lag150, tmean_lag0","ARIMAX(2,1,3)",2,1,3,-7803.77370214586,-7756.876321257352,1.1037935281461395,0.9846307125280257
"tmean_lag135, tmean_lag150, tmean_lag165, tmean_lag0","ARIMAX(3,1,3)",3,1,3,-8043.515779900181,-7996.618399011673,1.1079602654226195,0.9849836822534435
"tmean_lag120, tmean_lag105, tmean_lag90","ARIMAX(2,1,3)",2,1,3,-7738.429552400294,-7700.058968036969,1.11008988781686,0.9889394539986971
"tmean_lag105, tmean_lag90","ARIMAX(2,1,3)",2,1,3,-7757.141182153947,-7723.033996053214,1.1107060288508888,0.9892218829585824
"tmean_lag120, tmean_lag135, tmean_lag105, tmean_lag90","ARIMAX(2,1,3)",2,1,3,-7726.7627621356905,-7684.128779509774,1.1200018576920494,0.9975235461208818
"tmean_lag120, tmean_lag150, tmean_lag165, tmean_lag90","ARIMAX(2,1,3)",2,1,3,-7893.910577244538,-7851.276594618622,1.1207639431766492,0.9949046894732458
"tmean_lag120, tmean_lag135, tmean_lag150, tmean_lag165, tmean_lag90","ARIMAX(2,1,3)",2,1,3,-7884.376120419494,-7837.478739530987,1.1209194764205437,0.9950440988597782
"tmean_lag135, tmean_lag165, tmean_lag90, tmean_lag0","ARIMAX(2,1,3)",2,1,3,-7861.596403355648,-7814.699022467141,1.1220925424542527,0.9843691116038764
"tmean_lag150, tmean_lag165, tmean_lag0","ARIMAX(3,1,3)",3,1,3,-8053.560562673447,-8010.9265800475305,1.1226634780761144,0.9985279770971519
"tmean_lag135, tmean_lag105, tmean_lag90","ARIMAX(2,1,3)",2,1,3,-7745.675185886837,-7707.304601523513,1.1235718511755652,1.0005758818289772
"tmean_lag120, tmean_lag105, tmean_lag150, tmean_lag180","ARIMAX(2,1,3)",2,1,3,-7812.223739882608,-7769.589757256692,1.1294860872182282,1.005887211641363
"tmean_lag120, tmean_lag135, tmean_lag105, tmean_lag150, tmean_lag0, tmean_lag180","ARIMAX(2,1,3)",2,1,3,-7699.197307954926,-7643.773130541235,1.1334348798938534,1.0036452435172334
"tmean_lag105, tmean_lag150, tmean_lag90","ARIMAX(2,1,3)",2,1,3,-7744.623263042202,-7706.252678678878,1.1378461001630504,1.0123062809299368
"tmean_lag120, tmean_lag150, tmean_lag165, tmean_lag180","ARIMAX(2,1,3)",2,1,3,-7875.988726016221,-7833.354743390305,1.1381292768754308,1.0102599981926224
"tmean_lag120, tmean_lag105, tmean_lag150, tmean_lag90","ARIMAX(2,1,3)",2,1,3,-7727.310501082766,-7684.676518456849,1.1384555394290763,1.0131768695958372
"tmean_lag120, tmean_lag135, tmean_lag165, tmean_lag90","ARIMAX(2,1,3)",2,1,3,-7880.718696993006,-7838.08471436709,1.139602957426397,1.0107179258080448
"tmean_lag120, tmean_lag165, tmean_lag180","ARIMAX(2,1,3)",2,1,3,-7889.666720202691,-7851.296135839367,1.1505958423540097,1.0207425939499553
"tmean_lag135, tmean_lag105, tmean_lag0, tmean_lag180","ARIMAX(2,1,3)",2,1,3,-7760.811761606863,-7718.177778980947,1.1514029171680837,1.025069747464007
"tmean_lag120, tmean_lag135, tmean_lag165, tmean_lag180","ARIMAX(2,1,3)",2,1,3,-7874.022241023719,-7831.388258397803,1.1520355026645834,1.0220844203356776
tmean_lag135,"ARIMAX(3,1,2)",3,1,2,-9581.70961096908,-9547.602424868346,1.1542122271956834,0.9376223604528083
"tmean_lag135, tmean_lag150, tmean_lag165, tmean_lag90","ARIMAX(3,1,3)",3,1,3,-8023.935080805759,-7977.037699917251,1.1545736450242994,1.0237126125591989
"tmean_lag120, tmean_lag135, tmean_lag105, tmean_lag150, tmean_lag90","ARIMAX(2,1,3)",2,1,3,-7701.665287021867,-7654.767906133359,1.158358568055214,1.0305263433105392
"tmean_lag150, tmean_lag165, tmean_lag90, tmean_lag0","ARIMAX(2,1,3)",2,1,3,-7889.04403829982,-7846.410055673904,1.1597011461647837,1.0248975723014007
