exog_variables,model_order,arima_p,arima_d,arima_q,aic,bic,rmse,mae
"twbs_lag120, twbs_lag135, twbs_lag105, twbs_lag0","ARIMAX(3,1,3)",3,1,3,-8071.571078733221,-8020.410299582121,0.5827614231041962,0.4949464057449733
twbs_lag135,"ARIMAX(2,1,3)",2,1,3,-8635.734355510847,-8601.627169410114,0.5837667339324202,0.47888127398478914
twbs_lag0,"ARIMAX(2,1,3)",2,1,3,-8986.29326445963,-8956.449476621488,0.6864078100390643,0.597635185582856
twbs_lag150,"ARIMAX(3,1,3)",3,1,3,-8983.181633559008,-8949.074447458275,0.7325384167586807,0.6618098379982363
"twbs_lag120, twbs_lag135, twbs_lag105, twbs_lag150, twbs_lag90, twbs_lag165, twbs_lag0","ARIMAX(3,1,3)",3,1,3,-7883.699250326281,-7819.748276387407,0.7373173849168827,0.6422231612433423
"twbs_lag105, twbs_lag90, twbs_lag165, twbs_lag0","ARIMAX(2,1,1)",2,1,1,-8045.078940843641,-8006.708356480317,0.7374201569904697,0.609721957459085
"twbs_lag120, twbs_lag105, twbs_lag0, twbs_lag180","ARIMAX(2,1,1)",2,1,1,-8039.153810008829,-8000.783225645505,0.773590157405917,0.6201124740495618
"twbs_lag120, twbs_lag135, twbs_lag105, twbs_lag90, twbs_lag165, twbs_lag0","ARIMAX(3,1,3)",3,1,3,-7951.541461852199,-7891.853886175916,0.7837366889432914,0.6933736354914548
"twbs_lag135, twbs_lag105, twbs_lag90","ARIMAX(3,1,3)",3,1,3,-8116.893847599998,-8069.99646671149,0.7870234189976933,0.704583671970922
"twbs_lag105, twbs_lag90, twbs_lag180","ARIMAX(2,1,1)",2,1,1,-8078.012910127934,-8043.905724027201,0.8022461765178808,0.6615251870872613
"twbs_lag105, twbs_lag90, twbs_lag0, twbs_lag180","ARIMAX(2,1,1)",2,1,1,-8028.5995083757225,-7990.228924012398,0.8046206879513761,0.649975498742394
