exog_variables,model_order,arima_p,arima_d,arima_q,aic,bic,rmse,mae
"tmean_lag5, tmean_lag4, tmean_lag6","ARIMAX(2,0,0)",2,0,0,-56.733724072406176,-51.32560301672771,0.059162793228424264,0.04754552417869762
"tmean_lag5, tmean_lag4, tmean_lag6, tmean_lag3","ARIMAX(2,0,0)",2,0,0,-61.0277998667724,-54.847090088854145,0.06013938428118877,0.04759506758567932
"tmean_lag5, tmean_lag6, tmean_lag3","ARIMAX(2,0,0)",2,0,0,-58.3210750877859,-52.912954032107436,0.06049713638577121,0.04760613628582021
"tmean_lag5, tmean_lag0, tmean_lag6","ARIMAX(2,0,0)",2,0,0,-59.90575444738245,-55.27022211394376,0.06299673154234398,0.047140162423120906
"tmean_lag5, tmean_lag0","ARIMAX(2,0,0)",2,0,0,-61.76929524990297,-57.90635163870406,0.06408219215154666,0.04699530910919773
"tmean_lag5, tmean_lag4, tmean_lag0","ARIMAX(2,0,0)",2,0,0,-59.785153590832905,-55.149621257394216,0.06418530071867544,0.04704594320732678
"tmean_lag5, tmean_lag4, tmean_lag0, tmean_lag6","ARIMAX(2,0,0)",2,0,0,-57.90560005896671,-52.49747900328825,0.06467283132423365,0.04685329643052661
"tmean_lag5, tmean_lag4, tmean_lag3","ARIMAX(2,0,0)",2,0,0,-56.53679738953102,-51.12867633385255,0.06494760958742643,0.055143414356125395
"tmean_lag5, tmean_lag0, tmean_lag3","ARIMAX(2,0,0)",2,0,0,-62.219078241525665,-57.583545908086975,0.07054942081665773,0.05847113876011899
"tmean_lag0, tmean_lag3","ARIMAX(2,0,0)",2,0,0,-53.967701925395716,-49.332169591957026,0.0713247998522147,0.053449650554275564
"tmean_lag5, tmean_lag0, ppt_lag4, tmean_lag6, tmean_lag3, ppt_lag1","ARIMAX(2,0,1)",2,0,1,-58.88940578272225,-51.163518560324434,0.07199498082650169,0.05746399118734935
"tmean_lag5, tmean_lag0, tmean_lag6, tmean_lag3, ppt_lag1","ARIMAX(2,0,0)",2,0,0,-60.62840109625395,-54.4476913183357,0.07423423892508982,0.06148433752567798
