exog_variables,model_order,arima_p,arima_d,arima_q,aic,bic,rmse,mae
"twbs_lag5, twbs_lag4, twbs_lag6","ARIMAX(2,0,0)",2,0,0,-56.91646894166729,-51.508347885988826,0.0595803100478859,0.042498322899472855
"twbs_lag5, twbs_lag4","ARIMAX(2,0,0)",2,0,0,-57.999158505501015,-53.363626172062325,0.06096590279940541,0.04665187677666622
"twbs_lag5, twbs_lag4, ppt_lag4, twbs_lag3","ARIMAX(2,0,0)",2,0,0,-51.61947917747591,-46.211358121797446,0.06184764643998428,0.05545086952670328
"twbs_lag5, twbs_lag4, twbs_lag6, twbs_lag3","ARIMAX(2,0,0)",2,0,0,-60.529739194097914,-54.34902941617966,0.06268999778020719,0.04959432050624873
"twbs_lag5, twbs_lag4, twbs_lag3","ARIMAX(2,0,0)",2,0,0,-56.18935210437911,-50.78123104870065,0.06443988778711685,0.05402287090667991
"twbs_lag5, twbs_lag0, twbs_lag6","ARIMAX(2,0,0)",2,0,0,-59.84206594714033,-55.20653361370164,0.06505405540127955,0.048781813133133234
"twbs_lag5, twbs_lag0","ARIMAX(2,0,0)",2,0,0,-61.769083184902314,-57.906139573703406,0.06576482422325733,0.049075015274551936
"twbs_lag5, twbs_lag0, twbs_lag4","ARIMAX(2,0,0)",2,0,0,-59.914163760556306,-55.27863142711762,0.06605681793789164,0.049622725459438334
"twbs_lag5, twbs_lag0, twbs_lag4, twbs_lag6","ARIMAX(2,0,0)",2,0,0,-57.915247566953326,-52.50712651127486,0.06631063862522421,0.047729746636706004
"twbs_lag5, twbs_lag0, twbs_lag6, ppt_lag1","ARIMAX(2,0,0)",2,0,0,-57.93747529728138,-52.52935424160292,0.06784672035802963,0.05165417808896786
"twbs_lag0, twbs_lag3","ARIMAX(2,0,0)",2,0,0,-54.82531464452768,-50.18978231108899,0.06789853811194095,0.050593781153920665
"twbs_lag5, twbs_lag0, twbs_lag3","ARIMAX(2,0,0)",2,0,0,-61.8838293918392,-57.24829705840051,0.07014467500492652,0.05598179135364462
"twbs_lag5, twbs_lag0, twbs_lag4, twbs_lag6, twbs_lag3","ARIMAX(2,0,0)",2,0,0,-61.1987338878689,-55.018024109950645,0.07148485968316941,0.054124668686986864
"twbs_lag5, twbs_lag0, twbs_lag6, twbs_lag3","ARIMAX(2,0,1)",2,0,1,-61.478310994428,-55.29760121650975,0.07216359112668455,0.05420611306666681
"ppt_lag3, twbs_lag4, ppt_lag4, twbs_lag6","ARIMAX(3,0,0)",3,0,0,-51.546809977578775,-45.36610019966052,0.07572122187228598,0.05870595798838255
"twbs_lag5, ppt_lag3, twbs_lag0, ppt_lag4, twbs_lag6, twbs_lag3, ppt_lag1","ARIMAX(3,0,0)",3,0,0,-48.711126349742926,-40.212650405105336,0.07583387424483043,0.06257944209782668
"twbs_lag5, ppt_lag3, ppt_lag4, twbs_lag3","ARIMAX(2,0,0)",2,0,0,-51.081762461056854,-45.67364140537839,0.07611769412087589,0.05413052085854767
"twbs_lag0, ppt_lag1","ARIMAX(2,0,0)",2,0,0,-52.764571224007284,-48.129038890568594,0.07645722166113476,0.056397895029774436
"twbs_lag5, ppt_lag3, twbs_lag4, ppt_lag4, twbs_lag6, ppt_lag1","ARIMAX(3,0,0)",3,0,0,-47.45736499262043,-39.73147777022261,0.07771500243504695,0.06022013710217674
"twbs_lag5, twbs_lag3","ARIMAX(0,0,1)",0,0,1,-53.39102261491081,-50.30066772595168,0.07786347332855081,0.06059220382967941
twbs_lag5,"ARIMAX(0,0,1)",0,0,1,-55.34769278984281,-53.029926623123465,0.07817673698469087,0.05898448766453346
"twbs_lag5, twbs_lag6","ARIMAX(0,0,1)",0,0,1,-53.37862946331589,-50.28827457435676,0.07836466941457347,0.06028553801230092
"twbs_lag5, ppt_lag4, twbs_lag6","ARIMAX(0,0,1)",0,0,1,-51.388014672484786,-47.52507106128588,0.07846715695632077,0.0586542597042451
"twbs_lag5, ppt_lag4","ARIMAX(0,0,1)",0,0,1,-53.379382525656865,-50.28902763669774,0.07873738954905181,0.05912969497816085
"twbs_lag5, twbs_lag6, twbs_lag3","ARIMAX(0,0,3)",0,0,3,-55.463683832383964,-49.28297405446571,0.0787722050086026,0.062313832252908624
"twbs_lag0, twbs_lag4, ppt_lag4, twbs_lag6, ppt_lag1","ARIMAX(2,0,0)",2,0,0,-51.88587652694247,-45.705166749024215,0.07915641092821903,0.060153836554476224
