exog_variables,model_order,arima_p,arima_d,arima_q,aic,bic,rmse,mae
"tmean_lag4, ppt_lag2, tmean_lag5, tmean_lag2","ARIMAX(3,0,1)",3,0,1,41.345086698280845,48.29838519843888,0.22512853962485188,0.19772828311534063
"ppt_lag3, tmean_lag4, ppt_lag2, ppt_lag4","ARIMAX(0,0,1)",0,0,1,10.429806089347451,15.837927145025919,0.27559607273371195,0.25290919461740113
"ppt_lag3, tmean_lag4, ppt_lag2, ppt_lag5","ARIMAX(0,0,1)",0,0,1,10.366196890365929,15.774317946044397,0.28527488539942497,0.26611153883468974
"ppt_lag3, tmean_lag4, ppt_lag2","ARIMAX(0,0,1)",0,0,1,8.498172799058505,13.133705132497191,0.292967444775933,0.2711191079150428
"ppt_lag3, tmean_lag4, ppt_lag4, ppt_lag5","ARIMAX(0,0,1)",0,0,1,11.316789341825796,16.724910397504264,0.30487381765461213,0.2918629631977647
"ppt_lag3, ppt_lag2, tmean_lag5, ppt_lag4","ARIMAX(0,0,1)",0,0,1,12.627151145104369,18.035272200782835,0.30639713458496587,0.2793855728729451
"ppt_lag3, tmean_lag4, ppt_lag4","ARIMAX(0,0,1)",0,0,1,9.562727811451946,14.198260144890632,0.32351424794326916,0.30881055301105187
"ppt_lag3, ppt_lag2","ARIMAX(0,0,1)",0,0,1,7.837089480947391,11.700033092146297,0.3255838268246654,0.289549508896517
"ppt_lag3, tmean_lag4","ARIMAX(0,0,1)",0,0,1,7.56291875086522,11.425862362064127,0.325818355122608,0.3113333492530739
"ppt_lag3, tmean_lag2, ppt_lag4, ppt_lag5","ARIMAX(0,0,1)",0,0,1,13.616011194367752,19.02413225004622,0.3264701536131637,0.3036542772005788
"ppt_lag3, tmean_lag4, ppt_lag2, tmean_lag5, ppt_lag4","ARIMAX(1,0,0)",1,0,0,18.330319781773447,24.511029559691693,0.33370268565271904,0.28780337901669384
"ppt_lag3, tmean_lag5, tmean_lag2","ARIMAX(0,0,1)",0,0,1,11.975895949773857,16.611428283212543,0.3468705996583087,0.3223967514676014
"ppt_lag3, tmean_lag5, ppt_lag4","ARIMAX(0,0,1)",0,0,1,11.829436457262517,16.464968790701203,0.3520552913400961,0.32345206518187286
