exog_variables,model_order,arima_p,arima_d,arima_q,aic,bic,rmse,mae
"ppt_lag3, twbs_lag4, ppt_lag2","ARIMAX(0,0,1)",0,0,1,8.675353912828808,13.310886246267494,0.29431132385465036,0.27280353166242755
"ppt_lag3, ppt_lag2, twbs_lag3, ppt_lag4","ARIMAX(0,0,1)",0,0,1,10.11486300892734,15.522984064605808,0.2976778235223177,0.2810518184042876
"ppt_lag3, twbs_lag2, ppt_lag4","ARIMAX(0,0,1)",0,0,1,12.024022981296795,16.65955531473548,0.2990111758080697,0.274636396203086
"ppt_lag3, ppt_lag2","ARIMAX(0,0,1)",0,0,1,7.837089480947391,11.700033092146297,0.3255838268246654,0.289549508896517
"ppt_lag3, twbs_lag4, ppt_lag2, twbs_lag3, twbs_lag2, ppt_lag4","ARIMAX(2,0,1)",2,0,1,34.041488475632775,41.767375698030584,0.3266712615140219,0.32156468716384756
"ppt_lag3, twbs_lag4","ARIMAX(0,0,1)",0,0,1,7.753620263888962,11.616563875087868,0.3268279762064533,0.3134689929779326
"ppt_lag3, twbs_lag5, twbs_lag2, ppt_lag4","ARIMAX(0,0,1)",0,0,1,14.310188596652036,19.718309652330504,0.3449243312882495,0.3078388242227157
"ppt_lag3, twbs_lag5, twbs_lag2","ARIMAX(0,0,1)",0,0,1,11.938347581805601,16.573879915244287,0.34627153161052565,0.32321486943275657
"ppt_lag3, twbs_lag4, ppt_lag2, twbs_lag3, twbs_lag2","ARIMAX(2,0,1)",2,0,1,34.40628304343213,41.35958154359017,0.3539098781357613,0.34406246304354493
"ppt_lag3, twbs_lag4, ppt_lag2, twbs_lag3, twbs_lag5, twbs_lag2, ppt_lag4, twbs_lag1","ARIMAX(0,0,0)",0,0,0,45.71865932039305,53.44454654279086,0.35582472555026995,0.25358437054263216
"ppt_lag3, ppt_lag2, twbs_lag5, ppt_lag4","ARIMAX(0,0,1)",0,0,1,13.159584408506074,18.56770546418454,0.36697269256254766,0.33114101784572014
"twbs_lag5, twbs_lag2, ppt_lag4","ARIMAX(0,0,1)",0,0,1,12.857271404653272,17.492803738091958,0.37076406345571444,0.3394610936047382
"twbs_lag2, ppt_lag4","ARIMAX(0,0,1)",0,0,1,11.42667057532877,15.289614186527675,0.3891717576935524,0.36663616431446666
"ppt_lag2, twbs_lag2","ARIMAX(0,0,1)",0,0,1,12.123376240808618,15.986319852007524,0.3892419538385926,0.36014945259567055
"twbs_lag4, ppt_lag2","ARIMAX(0,0,1)",0,0,1,10.65221533376382,14.515158944962725,0.39213193864135776,0.3616235212161767
"ppt_lag3, twbs_lag3, ppt_lag4","ARIMAX(0,0,1)",0,0,1,11.054537640858904,15.69006997429759,0.3923649205048699,0.3735588440409221
"ppt_lag3, twbs_lag4, ppt_lag2, twbs_lag3, twbs_lag5","ARIMAX(2,0,1)",2,0,1,27.239402399091624,34.96528962148943,0.39438105994841705,0.3552644838378485
"twbs_lag4, ppt_lag4","ARIMAX(0,0,1)",0,0,1,9.28253644330038,13.145480054499286,0.3961829760198586,0.37975652444258
twbs_lag4,"ARIMAX(0,0,1)",0,0,1,10.512046267090863,13.602401156049988,0.39919285847163216,0.3499658868669906
"ppt_lag3, twbs_lag5","ARIMAX(0,0,1)",0,0,1,10.542413284413648,14.405356895612556,0.41107288247956814,0.3790743340119578
"twbs_lag4, twbs_lag5","ARIMAX(1,0,0)",1,0,0,15.70731315120748,19.570256762406387,0.41164577588984186,0.3948627495615318
"ppt_lag3, twbs_lag4, ppt_lag2, twbs_lag2, ppt_lag4","ARIMAX(0,0,0)",0,0,0,12.335002591271662,17.74312364695013,0.4126599706628099,0.34397134639265126
"twbs_lag4, twbs_lag2, ppt_lag4","ARIMAX(0,0,1)",0,0,1,11.230429476000444,15.86596180943913,0.41324307274175487,0.3922836197336421
"ppt_lag3, twbs_lag4, twbs_lag3","ARIMAX(0,0,1)",0,0,1,7.015841967267379,11.651374300706065,0.4142367925461413,0.4090763338346237
"ppt_lag3, twbs_lag4, ppt_lag2, twbs_lag3, twbs_lag1","ARIMAX(2,0,1)",2,0,1,30.47659904231776,37.429897542475786,0.41499828511704534,0.37779652463572777
"twbs_lag4, ppt_lag2, twbs_lag2","ARIMAX(0,0,1)",0,0,1,12.593501663499095,17.22903399693778,0.416755379907965,0.3776091646648094
"ppt_lag3, twbs_lag5, ppt_lag4","ARIMAX(2,0,3)",2,0,3,24.329938134765,32.05582535716281,0.4184086730218099,0.38363923798518806
"twbs_lag4, twbs_lag3, twbs_lag5, twbs_lag2","ARIMAX(0,0,1)",0,0,1,14.720929013400397,20.129050069078865,0.42057666061923255,0.3715294810095382
"ppt_lag3, ppt_lag2, twbs_lag5","ARIMAX(0,0,0)",0,0,0,11.821162003477426,15.684105614676332,0.42127976410406687,0.3372644532764273
"ppt_lag3, ppt_lag2, twbs_lag5, twbs_lag2, ppt_lag4","ARIMAX(0,0,0)",0,0,0,12.045028634936108,17.453149690614577,0.4223220939699574,0.3492504601787627
"ppt_lag3, twbs_lag4, twbs_lag5","ARIMAX(0,0,0)",0,0,0,15.023815449285088,18.886759060483996,0.42421949882083315,0.3858623664820482
